name,MW,antiCD20_stoich,antiCD20_coef,antiCD20_MW,iggM1_stoich,iggM1_coef,iggM2_stoich,iggM2_coef,iggM3_stoich,iggM3_coef,mAb_stoich,mAb_coef,mAb2_stoich,mAb2_coef,mAb2_MW
M_ala__L_c,71.079,0.059,-0.059,4.194,484.6,-484.6,503.5,-503.5,504,-504,610.6,-610.6,38.000,-38.000,159.359
M_arg__L_c,156.189,0.023,-0.023,3.592,196,-196,290.3,-290.3,210.9,-210.9,213.6,-213.6,20.000,-20.000,71.847
M_asn__L_c,114.104,0.045,-0.045,5.135,309.1,-309.1,325.7,-325.7,298.8,-298.8,249.8,-249.8,24.000,-24.000,123.232
M_asp__L_c,115.088,0.037,-0.037,4.258,368.9,-368.9,386.2,-386.2,372.5,-372.5,323.1,-323.1,26.000,-26.000,110.715
M_cys__L_c,103.139,0.025,-0.025,2.578,220.2,-220.2,250.2,-250.2,222.4,-222.4,212.9,-212.9,18.000,-18.000,46.413
M_gln__L_c,128.131,0.04,-0.04,5.125,441,-441,418.4,-418.4,485.7,-485.7,333.2,-333.2,30.000,-30.000,153.757
M_glu__L_c,129.115,0.052,-0.052,6.714,427.2,-427.2,444.9,-444.9,458.1,-458.1,331,-331,33.000,-33.000,221.561
M_gly_c,57.052,0.066,-0.066,3.765,647.7,-647.7,653.1,-653.1,684.9,-684.9,859.2,-859.2,46.000,-46.000,173.210
M_his__L_c,137.142,0.023,-0.023,3.154,145.8,-145.8,160.6,-160.6,120.4,-120.4,110.9,-110.9,14.000,-14.000,44.160
M_ile__L_c,113.16,0.033,-0.033,3.734,258.1,-258.1,205.8,-205.8,206,-206,141.8,-141.8,15.000,-15.000,56.014
M_leu__L_c,113.16,0.063,-0.063,7.129,666.1,-666.1,658.5,-658.5,658.4,-658.4,568,-568,55.000,-55.000,392.099
M_lys__L_c,128.175,0.061,-0.061,7.819,641.8,-641.8,539.8,-539.8,593.8,-593.8,411.8,-411.8,47.000,-47.000,367.478
M_met__L_c,131.193,0.013,-0.013,1.706,79.98,-79.98,94.27,-94.27,107.8,-107.8,95.84,-95.84,8.000,-8.000,13.644
M_phe__L_c,147.177,0.042,-0.042,6.181,276.1,-276.1,345.3,-345.3,305.2,-305.2,234.3,-234.3,21.000,-21.000,129.810
M_pro__L_c,97.117,0.072,-0.072,6.992,667,-667,617.5,-617.5,617.7,-617.7,597.6,-597.6,48.000,-48.000,335.636
M_ser__L_c,87.078,0.011,-0.011,0.958,1300,-1300,1285,-1285,1299,-1299,1118,-1118,90.000,-90.000,86.207
M_thr__L_c,101.105,0.106,-0.106,10.717,689.9,-689.9,683.1,-683.1,710.6,-710.6,709.4,-709.4,55.000,-55.000,589.442
M_trp__L_c,186.214,0.022,-0.022,4.097,154.4,-154.4,143,-143,155.9,-155.9,105.3,-105.3,13.000,-13.000,53.257
M_tyr__L_c,163.176,0.029,-0.029,4.732,403.3,-403.3,367.8,-367.8,406.9,-406.9,221.3,-221.3,34.000,-34.000,160.892
M_val__L_c,99.133,0.086,-0.086,8.525,844.5,-844.5,853.6,-853.6,797,-797,758,-758,67.000,-67.000,571.204
M_atp_c,507.181,1.186,-1.186,601.44,12043.514,-12043.514,12049.9,-12049.9,12036.096,-12036.096,10716.566,-10716.566,916.812,-916.812,551407.019
M_gtp_c,523.179,1.816,-1.816,950.093,18443.36,-18443.36,18453.14,-18453.14,18432,-18432,16411.28,-16411.28,1404.000,-1404.000,1333930.662
M_h2o_c,18.015,3.002,-3.002,54.078,30486.874,-30486.874,30503.04,-30503.04,30468.096,-30468.096,27127.846,-27127.846,2320.812,-2320.812,125505.548
M_amp_c,347.224,0.908,0.908,315.279,9221.68,9221.68,9226.57,9226.57,9216,9216,8205.64,8205.64,702.000,702.000,221326.133
M_adp_c,427.203,0.278,0.278,118.697,2821.834,2821.834,2823.33,2823.33,2820.096,2820.096,2510.926,2510.926,214.812,214.812,25497.647
M_gdp_c,443.202,1.816,1.816,804.855,18443.36,18443.36,18453.14,18453.14,18432,18432,16411.28,16411.28,1404.000,1404.000,1130016.184
M_pi_c,96.985,2.094,2.094,203.072,21265.194,21265.194,21276.47,21276.47,21252.096,21252.096,18922.206,18922.206,1618.812,1618.812,328735.145
M_ppi_c,176.964,0.908,0.908,160.683,9221.68,9221.68,9226.57,9226.57,9216,9216,8205.64,8205.64,702.000,702.000,112799.685
M_h_c,1.008,3.002,3.002,3.026,30486.874,30486.874,30503.04,30503.04,30468.096,30468.096,27127.846,27127.846,2320.812,2320.812,7022.459
